"SECONDS";"PID";"VALUE";"UNITS"
"36290.203482";"Fuel used";"0.0299149031234378";"L"
"36290.203482";"Fuel used (total)";"0.0865631427765354";"L"
"36290.203482";"Fuel used price";"0.0302140521546722";"$"
"36290.203482";"Fuel used price (total)";"0.06";"$"
"36290.203482";"Instant engine power (based on fuel consumption)";"4.73655689708961";"hp"
"36290.203482";"MAF air flow rate";"4.54";"g/sec"
"36290.491482";"Average speed";"42.3020453301431";"km/h"
"36290.491482";"Calculated instant fuel consumption";"14.9646760075392";"L/100km"
"36290.491482";"Distance travelled";"0.317280254972222";"km"
"36290.491482";"Distance travelled (total)";"0.317280254972222";"km"
"36290.491482";"Vehicle acceleration";"-1.41052716381762";"m_sec2"
"36290.491482";"Vehicle speed";"11";"km/h"
"36290.773482";"Engine RPM";"720";"rpm"
"36291.072482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.25390625";"mA"
"36291.072482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.9024368";""
"36291.667482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36291.667482";"Throttle position";"15.2941176470588";"%"
"36291.943482";"Average fuel consumption";"9.74944387599058";"L/100km"
"36291.943482";"Average fuel consumption (total)";"27.6037662819207";"L/100km"
"36291.943482";"Calculated boost";"-0.272220484886839";"bar"
"36291.943482";"Calculated instant fuel rate";"2.10705152674612";"L/h"
"36291.943482";"Fuel used";"0.0309330603881166";"L"
"36291.943482";"Fuel used (total)";"0.0875813000412141";"L"
"36291.943482";"Fuel used price";"0.0312423909919978";"$"
"36291.943482";"Fuel used price (total)";"0.06";"$"
"36291.943482";"Instant engine power (based on fuel consumption)";"6.06286518058475";"hp"
"36291.943482";"MAF air flow rate";"5.94";"g/sec"
"36292.220482";"Average speed";"40.057188368521";"km/h"
"36292.220482";"Calculated instant fuel consumption";"42.1410305349225";"L/100km"
"36292.220482";"Distance travelled";"0.319681647055556";"km"
"36292.220482";"Distance travelled (total)";"0.319681647055556";"km"
"36292.220482";"Vehicle acceleration";"-1.31388346961228";"m_sec2"
"36292.220482";"Vehicle speed";"5";"km/h"
